SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence
100120111,10006361,10006783,20,20
100120113,10006361,10006859,21,21
100120116,10006361,10011537,53,53
100120117,10006361,10011549,41,41
100120119,10006361,10012119,73,73
100120121,10006362,10006867,25,25
100120122,10006362,10006868,26,26
100120124,10006362,10011670,20,20
100120125,10006363,10007443,14,14
100120127,10006363,10008408,41,41
100120128,10006363,10010892,24,24
100120130,10006364,10006672,35,35
100120132,10006364,10007546,14,14
100120133,10006364,10007547,74,74
100120136,10006364,10007882,15,15
100120138,10006364,10008414,46,46
100120142,10006364,10010942,32,32
100120143,10006364,10011666,20,20
100120145,10006364,10011683,46,46
100120146,10006364,10012000,28,28
100120148,10006365,10006672,11,11
100120150,10006365,10007826,14,14
100120151,10006365,10008309,18,18
100120153,10006365,10010942,15,15
100120154,10006365,10011671,16,16
100120156,10006365,10012000,63,63
100120157,10006365,10012565,56,56
100120161,10006366,10012117,16,16
100120162,10006366,10012867,11,11
100120164,10006366,10013238,13,13
100120165,10006367,10007205,45,45
100120167,10006367,10007539,14,14
100120168,10006367,10008542,22,22
100120170,10006367,10009206,87,87
100120171,10006367,10009324,17,17
100120173,10006367,10009581,50,50
100120175,10006367,10009814,15,15
100120176,10006367,10010964,23,23
100120178,10006367,10011035,24,24
100120181,10006367,10011790,13,13
100120182,10006367,10012910,63,63
100120184,10006368,10007542,25,25
100120186,10006368,10009549,72,72
100120187,10006368,10009765,12,12
100120189,10006368,10010011,64,64
100120190,10006368,10010863,21,21
100120192,10006368,10011229,39,39
100120195,10006368,10011683,12,12
100120197,10006368,10012124,51,51
100120198,10006368,10012127,27,27
100120200,10006368,10012162,26,26
100120201,10006368,10012289,17,17
100120208,10006370,10006877,41,41
100120209,10006370,10007171,30,30
100120210,10006370,10008156,21,21
100120211,10006370,10008204,48,48
100120213,10006370,10008442,13,13
100120215,10006370,10008929,56,56
100120216,10006370,10009104,74,74
100120218,10006370,10009320,48,48
100120219,10006370,10009335,21,21
100120221,10006370,10009768,28,28
100120222,10006370,10009769,15,15
100120224,10006370,10009985,46,46
100120227,10006370,10010395,47,47
100120229,10006370,10010561,44,44
100120230,10006370,10010661,100,100
100120232,10006370,10011373,26,26
100120233,10006370,10011547,12,12
100120235,10006370,10011993,78,78
100120236,10006370,10012016,12,12
100120238,10006370,10012122,13,13
100120240,10006370,10012283,47,47
100120241,10006370,10012316,42,42
100120243,10006370,10013046,11,11
100120246,10006372,10007415,59,59
100120247,10006372,10007517,19,19
100120249,10006372,10008103,33,33
100120251,10006372,10008530,26,26
100120252,10006372,10008847,49,49
100120254,10006372,10010665,65,65
100120255,10006372,10012260,17,17
100120257,10006372,10013308,14,14
100120258,10006374,10007563,28,28
100120260,10006374,10009706,55,55
100120262,10006374,10012827,55,55
100120265,10006376,10007175,28,28
100120266,10006376,10007549,25,25
100120268,10006376,10012096,45,45
100120272,10006377,10007660,20,20
100120273,10006377,10007771,12,12
100120275,10006377,10008359,24,24
100120276,10006377,10010459,14,14
100120278,10006377,10012463,15,15
100120280,10006378,10006700,26,26
100120281,10006378,10007047,50,50
