SDFB Person ID,Display Name,Gender,Historical Significance,Extant Birth Year,Extant Death Year,,,
10004885,Mary Glover,female,demoniac,1587,1697,,,
10007274,John Leech,male,schoolmaster and author,1566,1676,,,
10006841,John Kennedy,male,poet,1626,1629,,,
10010801,Reginald Scott,male,writer on witchcraft,1489,1599,,,
10011410,Henry St John,male,"politician, diplomatist, and author",1678,1751,,,
10008585,William Mowse,male,civil lawyer,1478,1588,,,
10009520,Henry Pendleton,male,theologian,1447,1557,,,
10003731,Sir Lionel Duckett,male,merchant and local politician,1477,1587,,,
10002382,Sir Thomas Cheyne,male,administrator and diplomat,1485,1558,,,
10000228,Brian Anslay,male,,1494,1604,,,
10012449,William Walker,male,schoolmaster and author,1623,1684,,,
10008425,Sir Edward Moore,male,administrator,1530,1602,,,
10009020,Hugh O'Donnell,male,chieftain and rebel,1572,1602,,,
10006216,John Hoskins the younger,male,,1617,1727,,,
10004657,Thomas Gale,male,surgeon,1507,1567,,,
10003620,John Douglas,male,archbishop of St Andrews and educational reformer,1500,1574,,,
10010666,William Samuel,male,poet,1551,1569,,,
10000229,George Anson,male,naval officer and politician,1697,1762,,,
10010994,Sir Richard Shelton,male,lawyer and politician,1578,1647,,,
10006687,Jenkin Jones,male,nonconformist minister,1700,1742,,,
10003089,Arthur Crowder,male,Benedictine monk,1588,1666,,,
10008266,John Middleton,male,army officer,1608,1674,,,
10010647,Sir Richard Saltonstall,male,merchant and local politician,1521,1601,,,
10011056,Sir Thomas Shirley,male,antiquary,1590,1654,,,
10012413,Archbishop William Wake,male,archbishop of Canterbury,1657,1737,,,
10005166,John Greenhalgh,male,royalist army officer,1588,1651,,,
10007499,Alexander Livingstone,male,politician and courtier,1511,1621,,,
10007536,Morgan Llwyd,male,Independent minister and mystic,1619,1659,,,
10007592,Thomas Longman,male,,1699,1755,,,
10001230,Zachary Bogan,male,classical and biblical scholar,1625,1659,,,
10010910,Willem Sewel,male,"translator, lexicographer, and historian of Quakerism",1653,1720,,,
10011628,Sir John Stradling,male,scholar and politician,1563,1637,,,
10008374,Sir George Monro of Culrain and Newmore,male,army officer,1584,1694,,,
10001834,Thomas Burton,male,diarist,1656,1661,,,
10000771,Thomas Bastard,male,epigrammatist and Church of England clergyman,1565,1618,,,
10008408,Alexander Montgomery,male,army officer,1588,1661,,,
10007498,William Livingston,male,nobleman,1482,1592,,,
10012928,Sir Trevor Williams,male,politician,1623,1692,,,
10007350,John Leslie,male,army officer,1698,1767,,,
10007358,Nicholas Lesse,male,translator,1548,1550,,,
10010425,William Rokeby,male,administrator and archbishop of Dublin,1411,1521,,,
10011913,Robert Thoroton,male,antiquary,1623,1678,,,
10006689,John Jones,male,Franciscan friar,1559,1598,,,
10003380,Richard Deane,male,government official and Baptist preacher,1647,1661,,,
